feature,importance_mean,importance_std
Focus_PneumResp,-0.0013646816751391863,0.0006990356916253592
Focus_Bloodstream,0.0,0.0
Focus_GI_Hepatobiliary,0.0,0.0
Focus_SoftTissue,0.0,0.0
Focus_NoneUnknown,0.0,0.0
Mets_Missing,0.0,0.0
MASCC,0.0,0.0
UTI,0.0013858629871701797,0.0020394128632335914
Neutropenia,0.0025508351488743603,0.001797194581613599
Gender,0.0039518276446380875,0.0027871889364097092
Line_Rx,0.004417816509319757,0.003520802764816238
Type,0.008835633018639525,0.005687568454053239
Age_Group,0.011658799322197991,0.00811202489785112
Comorb,0.020131324134592097,0.007954807870639074
Mets_Binary,0.03917029774872913,0.012750298554984517
qSOFA,0.25051137739046236,0.0308688293345302
